entity_a,entity_b,co_count,weight,relationship_level
Jordan,annually,7,7,Moderate
2030,Jordan,5,5,Moderate
2023,2030,5,5,Moderate
2030,50%,4,4,Weak
2030,annually,4,4,Weak
Jordan,first,4,4,Weak
2023,UNEP,3,3,Weak
2023,2100,3,3,Weak
2030,45%,3,3,Weak
South Asia,the Middle East,3,3,Weak
2030,2050,3,3,Weak
2023,North Africa,3,3,Weak
2023,annual,3,3,Weak
2023,Jordan,3,3,Weak
Jordan,the Middle East,3,3,Weak
Jordanian,annually,3,3,Weak
Jordan,Saudi Arabia,3,3,Weak
Saudi Arabia,the Middle East,3,3,Weak
2030,IPCC,2,2,Weak
2022,CO2,2,2,Weak
NASA,the Middle East,2,2,Weak
Jordan,the Jordan Valley,2,2,Weak
2030,Glasgow,2,2,Weak
North Africa,Southern Europe,2,2,Weak
2030,India,2,2,Weak
North Africa,the Middle East,2,2,Weak
2023,CO2,2,2,Weak
80,CO2,2,2,Weak
Southern Europe,the Middle East,2,2,Weak
2100,UNEP,2,2,Weak
$1.3 trillion,2021,2,2,Weak
1970,2 degrees,2,2,Weak
$1.3 trillion,2022,2,2,Weak
$1.3 trillion,2030,2,2,Weak
Israel,annually,2,2,Weak
2021,2022,2,2,Weak
2023,China,2,2,Weak
2023,Methane,2,2,Weak
COP28,Paris Agreement,2,2,Weak
2024,2030,2,2,Weak
2021,annual,2,2,Weak
50 years,Jordan,2,2,Weak
2030,annual,2,2,Weak
2021,2030,2,2,Weak
Greece,Mediterranean,2,2,Weak
12 million,Sahel,2,2,Weak
Amman,Jordan,2,2,Weak
Hawaii,NOAA,2,2,Weak
Amman,annually,2,2,Weak
El Nino,the Middle East,2,2,Weak
